id,name,now_cost,position,team,transfers_in,expected_goals,red_cards,form_rank,transfers_out_event,ict_index,chance_of_playing_this_round,starts,creativity,expected_assists,ict_index_rank,cost_change_event,expected_goals_conceded_per_90,in_dreamteam,expected_goals_conceded,expected_goals_per_90,selected_by_percent,transfers_out,clean_sheets_per_90,cost_change_start_fall,ict_index_rank_type,dreamteam_count,transfers_in_event,own_goals,goals_conceded_per_90,corners_and_indirect_freekicks_order,goals_scored,influence_rank,cost_change_start,threat_rank,selected_rank_type,news_added,event_points,ep_this,status,value_season,expected_goal_involvements,starts_per_90,bonus,threat,points_per_game_rank,cost_change_event_fall,yellow_cards,web_name,direct_freekicks_order,saves,news,penalties_saved,creativity_rank_type,points_per_game,total_points,creativity_rank,bps,value_form,now_cost_rank,expected_goal_involvements_per_90,penalties_order,saves_per_90,now_cost_rank_type,goals_conceded,expected_assists_per_90,form,points_per_game_rank_type,ep_next,clean_sheets,assists,selected_rank,influence,influence_rank_type,threat_rank_type,minutes,penalties_missed,form_rank_type,chance_of_playing_next_round
1,Folarin Balogun,44,FWD,Arsenal,10024,0.00,0,606,17,0.0,0.0,0,0.0,0.00,700,0,0.0,False,0.00,0.0,0.2,63595,0.0,1,72,0,0,0,0.0,,0,698,-1,664,51,2023-08-31T08:55:15.272751Z,0,0.0,u,0.0,0.00,0.0,0,0.0,713,0,0,Balogun,,0,Transferred to Monaco,0,72,0.0,0,691,0,0.0,560,0.0,,0.0,105,0,0.0,0.0,77,0.0,0,0,350,0.0,71,70,0,0,58,0.0
2,Cédric Alves Soares,38,DEF,Arsenal,67413,0.00,0,404,579,0.6,,0,4.3,0.02,519,0,0.59,False,0.39,0.0,0.5,65979,0.0,2,184,0,1129,0,0.0,,0,525,-2,484,97,,0,1.0,a,0.8,0.02,0.0,0,0.0,452,0,0,Cédric,,0,,0,173,1.0,3,465,15,0.0,849,0.03,,0.0,271,0,0.03,0.0,154,1.0,0,0,243,2.0,189,178,59,0,138,
3,Mohamed Elneny,44,MID,Arsenal,13568,0.08,0,593,14,1.6,100.0,0,2.1,0.01,508,0,0.47,False,0.13,0.29,0.1,20544,0.0,1,230,0,14,0,0.0,,0,513,-1,444,155,2023-12-30T22:30:09.113694Z,0,1.0,a,1.4,0.09,0.0,0,10.0,305,0,0,M.Elneny,,0,,0,231,2.0,6,477,16,0.0,531,0.33,,0.0,316,0,0.04,0.0,126,1.0,0,1,475,4.0,229,220,25,0,201,100.0
4,Fábio Ferreira Vieira,54,MID,Arsenal,11769,1.25,1,365,11,25.5,100.0,2,88.8,0.64,380,0,0.57,False,1.83,0.39,0.1,19205,0.31,1,170,0,4,0,0.62,,1,405,-1,294,143,2023-12-07T12:00:08.489004Z,0,1.3,a,4.4,1.89,0.62,0,85.0,283,0,0,Fábio Vieira,,0,,0,172,2.2,24,313,67,0.1,122,0.59,4.0,0.0,74,2,0.2,0.3,116,1.3,1,3,449,82.8,172,150,290,0,169,100.0
5,Gabriel dos Santos Magalhães,54,DEF,Arsenal,3484961,4.21,0,47,17757,113.7,100.0,32,118.4,0.62,110,0,0.78,True,25.08,0.13,28.3,3448427,0.47,-4,17,3,12352,1,0.78,,3,56,4,99,2,2024-03-18T22:00:08.938811Z,7,5.3,a,26.1,4.83,1.0,7,368.0,43,0,4,Gabriel,,0,,0,79,4.1,141,269,639,0.8,117,0.15,,0.0,13,25,0.02,4.3,6,5.3,15,1,9,648.4,18,4,2894,0,13,100.0
6,Kai Havertz,75,MID,Arsenal,1152861,11.12,0,4,21667,220.3,100.0,28,564.9,3.34,19,0,0.73,False,19.89,0.41,8.7,699966,0.55,0,14,5,11050,0,0.77,,12,46,0,14,16,2023-12-23T20:00:08.458889Z,5,9.3,a,22.4,14.45,1.03,15,934.0,23,0,10,Havertz,,0,,0,45,4.8,168,51,479,1.1,24,0.53,3.0,0.0,15,21,0.12,8.3,16,9.3,15,9,48,706.0,16,8,2447,0,3,100.0
8,Gabriel Fernando de Jesus,77,FWD,Arsenal,1140486,6.23,0,115,2897,149.8,100.0,17,390.4,3.20,64,0,0.72,False,11.65,0.39,2.7,1219633,0.68,3,14,1,368,0,0.68,,4,201,-3,25,21,2024-02-05T08:30:09.036230Z,4,3.8,a,10.8,9.43,1.06,10,747.0,125,0,6,G.Jesus,,0,,0,8,3.3,83,90,261,0.4,18,0.59,,0.0,7,11,0.2,2.8,23,3.8,11,7,116,358.0,25,13,1450,0,17,100.0
9,Jorge Luiz Frello Filho,53,MID,Arsenal,12120,0.10,0,213,67,36.8,100.0,10,187.8,1.77,332,0,0.83,False,8.40,0.01,0.2,22129,0.39,2,153,0,15,0,1.09,,0,337,-2,430,106,2023-12-18T00:00:09.353001Z,0,2.5,a,8.1,1.87,0.99,1,16.0,344,0,1,Jorginho,,0,,0,128,1.9,43,203,179,0.3,127,0.18,,0.0,77,11,0.17,1.5,150,2.5,4,2,344,165.0,144,212,912,0,102,100.0
10,Jakub Kiwior,42,DEF,Arsenal,249817,0.74,0,235,4034,42.7,,11,106.9,0.60,310,0,0.49,False,5.13,0.07,0.8,177376,0.57,3,106,1,292,0,0.77,,1,296,-3,286,84,,0,2.2,a,15.7,1.34,1.05,1,90.0,83,0,1,Kiwior,,0,,0,90,3.5,66,291,257,0.3,671,0.13,,0.0,159,8,0.06,1.2,15,2.2,6,3,206,228.8,110,88,941,0,72,
11,Marcus Oliveira Alencar,45,MID,Arsenal,819,0.00,0,681,8,0.0,0.0,0,0.0,0.00,754,0,0.0,False,0.00,0.0,0.0,11950,0.0,0,297,0,0,0,0.0,,0,751,0,731,195,2023-08-14T03:57:12.475590Z,0,0.0,u,0.0,0.00,0.0,0,0.0,759,0,0,Marquinhos,,0,Season long loan to FC Nantes,0,295,0.0,0,746,0,0.0,430,0.0,,0.0,251,0,0.0,0.0,301,0.0,0,0,556,0.0,296,289,0,0,250,0.0
